dataset,behavior_canonical,split,sample_id,t,detector_success,pose_returned,status,infer_ms,mean_conf,median_conf,points_conf_ge_02,points_conf_ge_05,mask_containment_sanity_rate_all,mask_containment_sanity_rate_conf02,mask_inside_count,nose_x,nose_y,nose_conf,nose_in_mask,upper_jaw_x,upper_jaw_y,upper_jaw_conf,upper_jaw_in_mask,lower_jaw_x,lower_jaw_y,lower_jaw_conf,lower_jaw_in_mask,mouth_end_right_x,mouth_end_right_y,mouth_end_right_conf,mouth_end_right_in_mask,mouth_end_left_x,mouth_end_left_y,mouth_end_left_conf,mouth_end_left_in_mask,right_eye_x,right_eye_y,right_eye_conf,right_eye_in_mask,right_earbase_x,right_earbase_y,right_earbase_conf,right_earbase_in_mask,right_earend_x,right_earend_y,right_earend_conf,right_earend_in_mask,right_antler_base_x,right_antler_base_y,right_antler_base_conf,right_antler_base_in_mask,right_antler_end_x,right_antler_end_y,right_antler_end_conf,right_antler_end_in_mask,left_eye_x,left_eye_y,left_eye_conf,left_eye_in_mask,left_earbase_x,left_earbase_y,left_earbase_conf,left_earbase_in_mask,left_earend_x,left_earend_y,left_earend_conf,left_earend_in_mask,left_antler_base_x,left_antler_base_y,left_antler_base_conf,left_antler_base_in_mask,left_antler_end_x,left_antler_end_y,left_antler_end_conf,left_antler_end_in_mask,neck_base_x,neck_base_y,neck_base_conf,neck_base_in_mask,neck_end_x,neck_end_y,neck_end_conf,neck_end_in_mask,throat_base_x,throat_base_y,throat_base_conf,throat_base_in_mask,throat_end_x,throat_end_y,throat_end_conf,throat_end_in_mask,back_base_x,back_base_y,back_base_conf,back_base_in_mask,back_end_x,back_end_y,back_end_conf,back_end_in_mask,back_middle_x,back_middle_y,back_middle_conf,back_middle_in_mask,tail_base_x,tail_base_y,tail_base_conf,tail_base_in_mask,tail_end_x,tail_end_y,tail_end_conf,tail_end_in_mask,front_left_thai_x,front_left_thai_y,front_left_thai_conf,front_left_thai_in_mask,front_left_knee_x,front_left_knee_y,front_left_knee_conf,front_left_knee_in_mask,front_left_paw_x,front_left_paw_y,front_left_paw_conf,front_left_paw_in_mask,front_right_thai_x,front_right_thai_y,front_right_thai_conf,front_right_thai_in_mask,front_right_knee_x,front_right_knee_y,front_right_knee_conf,front_right_knee_in_mask,front_right_paw_x,front_right_paw_y,front_right_paw_conf,front_right_paw_in_mask,back_left_paw_x,back_left_paw_y,back_left_paw_conf,back_left_paw_in_mask,back_left_thai_x,back_left_thai_y,back_left_thai_conf,back_left_thai_in_mask,back_right_thai_x,back_right_thai_y,back_right_thai_conf,back_right_thai_in_mask,back_left_knee_x,back_left_knee_y,back_left_knee_conf,back_left_knee_in_mask,back_right_knee_x,back_right_knee_y,back_right_knee_conf,back_right_knee_in_mask,back_right_paw_x,back_right_paw_y,back_right_paw_conf,back_right_paw_in_mask,belly_bottom_x,belly_bottom_y,belly_bottom_conf,belly_bottom_in_mask,body_middle_right_x,body_middle_right_y,body_middle_right_conf,body_middle_right_in_mask,body_middle_left_x,body_middle_left_y,body_middle_left_conf,body_middle_left_in_mask
cvb,Lying,val,cvb_1321_arm01_gopro4_20200323_034011_beh4_ani5_ins1_cut_00045_tr2_seg0,6,True,True,pose_output_returned,161.2,0.1864,0.1431,11,1,0.9744,1.0,38,11.32,183.05,0.0983,1,69.71,201.1,0.0574,1,13.9,186.74,0.1274,1,64.86,198.79,0.035,1,87.56,193.81,0.0423,1,92.26,138.6,0.055,1,26.69,110.16,0.0457,1,26.26,110.0,0.1424,1,96.66,102.89,0.0823,1,56.98,184.45,0.1299,1,11.74,155.94,0.0623,1,57.21,188.99,0.0494,1,95.12,101.62,0.0741,1,100.4,131.43,0.1139,1,99.01,99.28,0.0971,1,90.99,135.74,0.163,1,74.76,100.3,0.1552,1,91.71,152.82,0.0626,1,91.36,152.65,0.1431,1,70.87,99.62,0.1856,1,25.04,105.32,0.4134,1,46.27,99.69,0.294,1,24.45,107.67,0.4281,1,7.07,205.79,0.0606,0,68.12,150.18,0.2945,1,13.8,179.82,0.1615,1,70.29,204.09,0.711,1,57.79,152.85,0.1744,1,62.96,189.85,0.0792,1,66.38,201.67,0.3947,1,66.01,204.46,0.3313,1,69.27,154.08,0.3316,1,67.49,152.72,0.1877,1,50.68,189.89,0.3272,1,78.52,190.42,0.3717,1,66.52,203.39,0.1251,1,69.19,155.57,0.2986,1,47.14,135.45,0.182,1,49.41,124.38,0.181,1
cvb,Lying,val,cvb_1321_arm01_gopro4_20200323_034011_beh4_ani5_ins1_cut_00045_tr2_seg0,7,True,True,pose_output_returned,157.57,0.3883,0.3716,34,10,0.9744,1.0,38,107.73,166.23,0.5765,1,107.15,167.58,0.4619,1,104.97,166.63,0.3563,1,103.06,161.28,0.4758,1,110.14,162.37,0.3732,1,104.54,149.88,0.5898,1,106.86,139.19,0.2861,1,114.49,135.18,0.3399,1,104.14,142.46,0.3558,1,110.94,135.02,0.1846,1,110.67,150.96,0.7209,1,112.99,140.55,0.4097,1,114.55,135.09,0.3114,1,110.57,141.15,0.5356,1,115.88,134.96,0.3422,1,92.67,140.52,0.5389,1,92.34,132.89,0.1692,1,94.18,153.55,0.5447,1,91.59,154.51,0.4674,1,71.71,102.35,0.1709,1,26.06,106.37,0.3984,1,54.34,101.18,0.5188,1,23.71,111.05,0.3926,1,9.72,207.46,0.1307,0,71.33,155.18,0.317,1,86.78,182.52,0.3488,1,85.99,203.47,0.3716,1,75.4,153.84,0.3727,1,84.17,181.85,0.24,1,85.63,205.61,0.2896,1,49.46,206.41,0.4265,1,35.6,160.47,0.2392,1,73.04,158.74,0.1912,1,50.57,191.1,0.6604,1,78.56,190.56,0.5967,1,90.6,209.7,0.6974,1,67.27,157.02,0.2934,1,52.88,131.79,0.2424,1,54.0,126.88,0.2056,1
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,0,False,False,pose_detector_failure,135.3,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,1,False,False,pose_detector_failure,144.43,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,2,False,False,pose_detector_failure,143.74,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,3,False,False,pose_detector_failure,142.95,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,4,False,False,pose_detector_failure,146.41,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,5,False,False,pose_detector_failure,141.12,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,6,False,False,pose_detector_failure,148.51,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Lying,val,cvb_1317_arm01_gopro4_20200323_034011_beh6_ani1_ins1_cut_00003_tr1_seg0,7,False,False,pose_detector_failure,143.17,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,0,True,True,pose_output_returned,162.68,0.6663,0.6917,39,30,1.0,1.0,39,200.38,205.75,0.8591,1,198.58,211.48,0.796,1,194.36,210.8,0.7289,1,189.99,201.74,0.5618,1,204.97,205.37,0.6032,1,187.29,165.35,0.6917,1,176.17,148.63,0.6161,1,165.13,141.84,0.2843,1,182.8,137.05,0.7197,1,198.12,134.65,0.4599,1,210.54,162.83,0.9292,1,209.03,133.3,0.8133,1,213.46,129.58,0.5958,1,206.51,132.82,0.7918,1,214.29,134.26,0.712,1,135.93,99.18,0.4013,1,164.01,97.45,0.4034,1,158.64,157.44,0.5074,1,141.7,150.76,0.4663,1,164.28,93.8,0.3551,1,45.47,15.26,0.909,1,86.59,22.41,0.8032,1,42.1,18.47,1.0,1,10.84,155.07,0.5246,1,130.59,145.25,0.5894,1,132.07,173.63,0.5479,1,132.12,206.73,0.513,1,117.47,144.38,0.752,1,127.85,175.55,0.9321,1,126.36,213.09,0.9911,1,82.54,198.84,1.0,1,67.04,127.44,0.7405,1,40.31,120.88,0.6439,1,73.44,166.35,0.8656,1,52.08,164.88,0.9005,1,59.28,201.58,0.9034,1,61.38,135.69,0.4591,1,49.57,88.93,0.3954,1,54.54,96.41,0.2176,1
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,1,True,True,pose_output_returned,154.87,0.3676,0.3608,36,6,1.0,1.0,39,169.81,120.14,0.7029,1,168.35,121.09,0.5611,1,168.17,123.63,0.3691,1,165.58,121.94,0.4892,1,173.17,122.4,0.4549,1,166.82,112.29,0.4772,1,164.24,112.29,0.3608,1,159.4,108.13,0.3303,1,168.39,109.32,0.3922,1,163.98,105.4,0.2351,1,175.36,117.43,0.5109,1,184.46,114.22,0.548,1,185.8,110.99,0.4865,1,179.16,112.86,0.3632,1,188.55,114.37,0.3599,1,179.66,130.55,0.3014,1,188.37,117.67,0.1702,1,170.98,143.36,0.3932,1,173.79,145.01,0.43,1,199.21,121.53,0.2648,1,218.06,176.59,0.2772,1,209.02,154.16,0.4489,1,217.79,179.25,0.512,1,219.8,184.05,0.0639,1,188.51,137.81,0.2615,1,162.57,170.15,0.3793,1,162.95,190.24,0.2211,1,160.72,150.21,0.5099,1,158.77,169.21,0.4596,1,158.72,192.18,0.3397,1,207.14,184.9,0.2523,1,197.29,175.46,0.2634,1,212.13,181.4,0.1962,1,202.79,162.42,0.2719,1,205.57,162.59,0.3196,1,206.27,184.93,0.239,1,179.6,164.74,0.3131,1,174.49,158.5,0.351,1,199.47,149.99,0.4555,1
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,2,True,True,pose_output_returned,156.68,0.5753,0.5952,35,28,1.0,1.0,39,180.29,203.73,0.7422,1,178.39,208.51,0.6677,1,175.67,207.84,0.6367,1,171.99,202.95,0.5316,1,184.66,200.74,0.5623,1,165.35,166.82,0.6076,1,160.0,139.46,0.2974,1,155.68,124.24,0.3783,1,165.11,147.87,0.3616,1,182.76,141.66,0.25,1,187.94,164.69,0.8326,1,188.86,145.05,0.619,1,193.06,145.31,0.5604,1,184.0,141.46,0.5374,1,198.17,143.62,0.566,1,138.95,81.71,0.8368,1,149.25,59.49,0.1588,1,134.66,132.2,0.3423,1,124.95,129.42,0.3525,1,145.81,48.99,0.1839,1,13.82,35.56,0.663,1,97.73,27.88,0.5625,1,11.86,39.88,0.7956,1,36.22,152.06,0.1022,1,105.7,130.28,0.5955,1,135.56,165.26,0.5628,1,140.05,193.19,1.0,1,105.48,134.18,0.7967,1,112.08,170.99,0.8155,1,117.94,206.74,0.8186,1,79.47,186.75,0.8861,1,35.24,116.79,0.5742,1,42.62,118.78,0.5952,1,69.92,156.25,0.8339,1,46.9,160.57,0.7737,1,49.28,191.92,0.9743,1,81.81,130.0,0.6552,1,65.05,79.45,0.1926,1,75.08,78.61,0.2128,1
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,3,True,True,pose_output_returned,154.05,0.4879,0.4381,36,19,1.0,1.0,39,168.0,117.5,0.3566,1,164.8,122.63,0.3295,1,161.17,123.83,0.3874,1,155.12,109.54,0.3743,1,171.49,121.58,0.3584,1,158.62,81.76,0.6413,1,151.66,65.82,0.3123,1,151.2,65.07,0.3739,1,162.71,150.83,0.308,1,170.58,134.42,0.2859,1,170.54,80.88,0.5508,1,156.07,65.91,0.231,1,190.37,155.44,0.1644,1,172.48,145.87,0.399,1,187.68,154.67,0.3903,1,139.91,78.76,0.7078,1,146.6,45.8,0.1716,1,133.38,138.5,0.1822,1,126.62,140.15,0.2751,1,146.2,43.03,0.2292,1,16.63,32.82,0.6659,1,75.11,30.97,0.5348,1,12.35,38.44,0.7747,1,36.9,174.92,0.6842,1,110.6,136.06,0.5476,1,118.68,170.88,0.7015,1,122.08,208.37,0.5063,1,106.52,138.09,0.6657,1,117.41,169.25,0.7878,1,120.55,210.09,1.0,1,78.57,190.22,1.0,1,35.28,112.23,0.4381,1,32.35,120.67,0.5844,1,66.97,157.44,0.5754,1,45.38,159.56,0.5657,1,48.45,195.68,0.9277,1,82.44,134.25,0.5502,1,67.9,80.2,0.2427,1,92.41,78.96,0.2446,1
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,4,False,False,pose_detector_failure,137.59,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,5,True,True,pose_output_returned,165.93,0.5169,0.5499,34,22,1.0,1.0,39,190.46,195.09,0.779,1,191.13,198.55,0.7652,1,186.97,198.29,0.6359,1,179.33,197.91,0.5491,1,192.14,190.21,0.5846,1,169.91,175.21,0.6156,1,144.95,161.87,0.2685,1,129.05,151.82,0.4438,1,162.74,147.63,0.2933,1,181.24,154.29,0.1725,1,184.34,167.1,0.7581,1,181.42,150.09,0.4116,1,190.27,149.46,0.265,1,174.95,148.99,0.4787,1,188.88,149.49,0.3202,1,149.54,100.18,0.486,1,170.61,79.66,0.1239,1,120.3,162.37,0.1217,1,137.78,127.62,0.2114,1,173.11,76.97,0.1732,1,13.68,53.32,0.9652,1,79.9,47.64,0.7539,1,9.02,59.31,0.896,1,194.11,107.55,0.1483,1,88.97,137.09,0.6546,1,85.43,165.23,0.6542,1,95.32,189.9,0.6689,1,89.89,138.77,0.7706,1,110.34,169.79,0.5083,1,117.1,208.91,0.5936,1,95.53,189.12,0.6153,1,42.75,126.49,0.5499,1,44.5,130.35,0.7727,1,52.33,161.47,0.4909,1,53.8,165.52,0.767,1,61.81,191.49,0.5553,1,68.94,137.57,0.7552,1,67.42,94.08,0.3515,1,78.37,97.33,0.2315,1
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,6,False,False,pose_detector_failure,137.09,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Feeding,train,cvb_0604_arm01_gopro1_20200324_230913_beh8_ani8_ins1_cut_2_tr1_seg0,7,True,True,pose_output_returned,165.2,0.3877,0.2979,28,14,1.0,1.0,39,134.66,205.55,0.113,1,132.94,213.26,0.1089,1,131.71,212.74,0.1321,1,132.4,203.78,0.124,1,186.27,206.8,0.2091,1,125.32,178.79,0.5044,1,118.17,174.05,0.2101,1,106.45,170.3,0.2117,1,129.06,172.4,0.2979,1,182.71,162.89,0.1314,1,138.45,181.42,0.2055,1,120.48,169.58,0.1869,1,189.82,106.57,0.1688,1,128.25,171.01,0.3177,1,173.66,171.55,0.1915,1,160.24,100.58,0.401,1,167.3,98.21,0.0977,1,138.39,148.8,0.2529,1,109.49,153.45,0.2153,1,162.06,67.11,0.1333,1,16.22,53.51,0.6069,1,95.96,45.38,0.6529,1,13.99,56.91,0.5338,1,13.47,114.07,0.1909,1,102.46,144.09,0.6565,1,104.05,171.25,0.6764,1,103.96,185.98,0.2316,1,97.42,146.56,0.6767,1,101.21,166.28,0.7168,1,80.7,170.39,0.3154,1,51.8,190.3,0.4002,1,40.24,129.43,0.6856,1,33.58,132.03,0.8762,1,36.46,159.38,0.8024,1,42.32,163.31,0.8405,1,51.36,193.86,0.8,1,65.24,139.04,0.5784,1,67.39,94.76,0.4303,1,75.17,89.69,0.234,1
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,0,True,True,pose_output_returned,157.7,0.3642,0.1959,18,14,0.7436,0.7222,29,28.89,208.89,0.1424,1,167.58,216.74,0.0883,0,168.28,213.78,0.1927,0,23.91,111.24,0.0909,1,186.23,149.32,0.0953,0,18.74,125.46,0.0583,1,168.81,20.46,0.059,1,10.69,13.26,0.069,0,23.36,146.82,0.1107,1,13.64,140.57,0.0902,1,23.17,166.58,0.1257,1,16.49,148.78,0.1067,1,10.57,152.65,0.0606,1,184.81,175.07,0.1355,0,6.1,135.3,0.15,1,32.26,85.5,0.5996,1,48.24,36.82,0.1708,1,48.3,161.57,0.1362,1,35.64,133.78,0.2567,1,47.33,31.13,0.1751,1,188.27,11.49,0.6953,1,103.57,10.3,0.6936,1,195.86,14.74,0.6686,1,199.76,99.22,0.1175,1,70.6,136.61,0.928,1,61.61,178.24,0.4565,1,32.94,209.37,0.5849,1,79.06,139.19,0.7438,1,66.47,177.35,0.5907,1,65.84,210.41,0.8559,1,161.71,214.17,0.8425,0,159.24,125.37,0.7491,1,204.93,106.07,0.4193,0,176.27,163.33,0.8298,0,196.16,160.9,0.4858,0,165.0,212.85,0.5589,0,115.07,134.1,0.6769,1,112.44,87.36,0.1963,1,105.41,91.95,0.1959,1
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,1,False,False,pose_detector_failure,134.86,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,2,False,False,pose_detector_failure,149.55,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,3,True,True,pose_output_returned,166.35,0.3606,0.3579,32,10,0.6923,0.75,27,132.57,166.68,0.3579,0,134.23,170.95,0.2592,0,131.01,170.46,0.2137,0,127.81,165.72,0.2602,0,133.78,163.81,0.2564,0,32.21,122.07,0.5259,1,26.27,103.02,0.556,1,27.34,94.39,0.4414,1,25.84,102.78,0.537,1,29.71,92.89,0.5378,1,34.97,122.16,0.4279,1,34.89,103.98,0.5098,1,130.03,145.71,0.3762,0,33.54,105.9,0.6101,1,32.35,92.74,0.4553,1,124.28,150.8,0.4008,0,122.15,149.03,0.1763,0,39.05,136.87,0.0946,1,53.73,152.26,0.1199,1,123.24,147.22,0.1654,0,44.87,128.96,0.1894,1,130.25,165.46,0.1293,0,46.53,129.2,0.2053,1,97.67,174.32,0.0461,0,64.23,150.26,0.4623,1,98.91,172.28,0.3092,0,51.49,210.02,0.3213,1,67.57,152.16,0.3496,1,59.7,183.72,0.2313,1,33.91,215.66,0.5275,1,32.67,218.67,0.621,1,30.95,153.76,0.4843,1,61.28,149.61,0.6032,1,58.98,183.98,0.4368,1,60.64,183.93,0.7358,1,54.45,215.31,0.2743,1,83.23,154.39,0.3593,1,83.53,121.2,0.233,1,85.11,120.93,0.2631,1
cvb,Feeding,train,cvb_0974_arm01_gopro1_20200327_001756_beh1_ani1_ins1_cut_00004_tr5_seg0,4,False,False,pose_detector_failure,135.6,0.0,0.0,0,0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0
